order_id,date,time,customer_id,table_id,server_id
1,2015-01-01,11:38:36,184,5,1
2,2015-01-01,11:57:40,15,2,2
3,2015-01-01,12:12:28,347,11,4
4,2015-01-01,12:16:31,104,9,3
5,2015-01-01,12:21:30,1,14,1
6,2015-01-01,12:29:36,834,10,3
7,2015-01-01,12:50:37,167,2,1
8,2015-01-01,12:51:37,202,10,2
9,2015-01-01,12:52:01,1,3,4
10,2015-01-01,13:00:15,16,1,4
11,2015-01-01,13:02:59,9,10,1
12,2015-01-01,13:04:41,578,1,2
13,2015-01-01,13:11:55,70,7,2
14,2015-01-01,13:14:19,265,14,3
15,2015-01-01,13:33:00,16,4,4
16,2015-01-01,13:34:07,3,11,4
17,2015-01-01,13:53:00,36,6,1
18,2015-01-01,13:57:08,1,2,3
19,2015-01-01,13:59:09,275,3,1
20,2015-01-01,14:03:08,64,2,3
21,2015-01-01,14:14:29,164,3,3
22,2015-01-01,14:16:26,8,3,2
23,2015-01-01,14:19:03,803,14,4
24,2015-01-01,14:23:01,450,13,3
25,2015-01-01,14:44:44,190,6,4
26,2015-01-01,14:54:26,2,11,2
27,2015-01-01,15:11:17,18,4,2
28,2015-01-01,15:35:46,1,10,3
29,2015-01-01,15:41:01,2,4,1
30,2015-01-01,15:41:25,93,10,4
31,2015-01-01,15:50:18,148,6,2
32,2015-01-01,15:53:18,785,13,1
33,2015-01-01,15:54:08,6,13,2
34,2015-01-01,16:21:21,9,6,8
35,2015-01-01,16:32:04,19,1,5
36,2015-01-01,16:54:09,2,5,8
37,2015-01-01,16:56:09,1,5,8
38,2015-01-01,17:03:00,20,7,8
39,2015-01-01,17:07:23,3,9,5
40,2015-01-01,17:14:36,84,15,8
41,2015-01-01,17:15:20,15,1,6
42,2015-01-01,17:28:09,286,9,7
43,2015-01-01,17:38:34,106,3,6
44,2015-01-01,17:54:20,6,9,5
45,2015-01-01,17:55:48,285,10,7
46,2015-01-01,18:25:51,232,13,5
47,2015-01-01,18:26:34,10,9,6
48,2015-01-01,18:26:42,5,3,5
49,2015-01-01,18:33:00,93,14,8
50,2015-01-01,18:41:01,2,7,6
51,2015-01-01,18:48:28,2,8,5
52,2015-01-01,18:53:02,1,10,8
53,2015-01-01,18:54:17,203,4,7
54,2015-01-01,19:01:45,81,15,5
55,2015-01-01,19:03:19,110,1,6
56,2015-01-01,19:07:00,194,3,7
57,2015-01-01,19:10:51,17,15,8
58,2015-01-01,19:30:40,40,7,8
